timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue
2023-10-16T02:27:21,codecarbon,d6827e1c-ffe4-4565-a68b-94033f24f0cf,0.00901460647583,6.476394099692298e-09,7.184333688948904e-07,42.5,0.0,5.899106025695801,9.462055232789782e-08,0,1.482639535765884e-09,9.610319186366373e-08,France,FRA,île-de-france,,,Windows-10-10.0.22621-SP0,3.11.6,2.3.1,16,12th Gen Intel(R) Core(TM) i7-1260P,,,2.2875,48.9119,15.730949401855469,machine,N,1.0
2023-10-16T02:27:35,codecarbon,432288c2-c7c3-484d-ba75-9f14092c086f,0.0100045204162597,7.278647505802475e-09,7.275358740807718e-07,42.5,0.0,5.899106025695801,1.0629859235551625e-07,0,1.7092353014428831e-09,1.0800782765695913e-07,France,FRA,île-de-france,,,Windows-10-10.0.22621-SP0,3.11.6,2.3.1,16,12th Gen Intel(R) Core(TM) i7-1260P,,,2.2875,48.9119,15.730949401855469,machine,N,1.0
2023-10-16T02:33:08,codecarbon,2427e9e8-02c4-4cc4-a95d-f6cea2c3bcac,0.0225114822387695,1.92942503353442e-08,8.570848481098865e-07,42.5,0.0,5.899106025695801,2.657605542076959e-07,0,2.0546766393939225e-08,2.863073206016351e-07,France,FRA,île-de-france,,,Windows-10-10.0.22621-SP0,3.11.6,2.3.1,16,12th Gen Intel(R) Core(TM) i7-1260P,,,2.2875,48.9119,15.730949401855469,machine,N,1.0
2023-10-16T02:33:14,codecarbon,27cf5ad9-e9f8-4473-953b-a9d58724d319,0.0210294723510742,1.7203658377471733e-08,8.180737058099768e-07,42.5,0.0,5.899106025695801,2.372480101055569e-07,0,1.8037022947889152e-08,2.552850330534461e-07,France,FRA,île-de-france,,,Windows-10-10.0.22621-SP0,3.11.6,2.3.1,16,12th Gen Intel(R) Core(TM) i7-1260P,,,2.2875,48.9119,15.730949401855469,machine,N,1.0
2023-10-16T02:33:51,codecarbon,3237c23b-1295-4cea-bfba-438673b3f690,0.0180037021636962,1.4521365473679641e-08,8.065766330528043e-07,42.5,0.0,5.899106025695801,2.0073619153764525e-07,0,1.474630547496266e-08,2.154824970126078e-07,France,FRA,île-de-france,,,Windows-10-10.0.22621-SP0,3.11.6,2.3.1,16,12th Gen Intel(R) Core(TM) i7-1260P,,,2.2875,48.9119,15.730949401855469,machine,N,1.0
2023-10-16T02:59:25,codecarbon,8d324095-1fad-4303-a4ac-ab442c10b38d,0.0254762172698974,2.1081804441804216e-08,8.275092105889026e-07,42.5,0.0,5.899106025695801,2.8895901309119335e-07,0,2.3873817325844973e-08,3.128328304170384e-07,France,FRA,île-de-france,,,Windows-10-10.0.22621-SP0,3.11.6,2.3.1,16,12th Gen Intel(R) Core(TM) i7-1260P,,,2.2875,48.9119,15.730949401855469,machine,N,1.0
2023-10-16T02:59:33,codecarbon,a7e6e775-381d-4855-aabb-e6ac75a1fc5b,0.0234646797180175,1.879350029870804e-08,8.009272031221149e-07,42.5,0.0,5.899106025695801,2.60851780573527e-07,0,1.802491179489607e-08,2.788766923684231e-07,France,FRA,île-de-france,,,Windows-10-10.0.22621-SP0,3.11.6,2.3.1,16,12th Gen Intel(R) Core(TM) i7-1260P,,,2.2875,48.9119,15.730949401855469,machine,N,1.0
2023-10-16T03:02:37,codecarbon,f55750e0-414e-40a0-a42e-badc6e6daf7f,0.0239770412445068,1.971372941011192e-08,8.221919130505038e-07,42.5,0.0,5.899106025695801,2.712632218996684e-07,0,2.12687473852687e-08,2.9253196928493705e-07,France,FRA,île-de-france,,,Windows-10-10.0.22621-SP0,3.11.6,2.3.1,16,12th Gen Intel(R) Core(TM) i7-1260P,,,2.2875,48.9119,15.730949401855469,machine,N,1.0
2023-10-16T03:02:39,codecarbon,9be0b96b-9ed3-40a6-9961-14ef9bf0eb09,0.0230312347412109,1.8889453111597928e-08,8.201667571820666e-07,42.5,0.0,5.899106025695801,2.606660127639771e-07,0,1.9634523095912e-08,2.803005358598891e-07,France,FRA,île-de-france,,,Windows-10-10.0.22621-SP0,3.11.6,2.3.1,16,12th Gen Intel(R) Core(TM) i7-1260P,,,2.2875,48.9119,15.730949401855469,machine,N,1.0
2023-10-16T03:04:32,codecarbon,d3df32db-bd3c-42e7-9367-536a33768a0a,0.0295352935791015,2.18632252511544e-08,7.40240661315934e-07,42.5,0.0,5.899106025695801,3.014730082617866e-07,0,2.2955323110143893e-08,3.244283313719305e-07,France,FRA,île-de-france,,,Windows-10-10.0.22621-SP0,3.11.6,2.3.1,16,12th Gen Intel(R) Core(TM) i7-1260P,,,2.2875,48.9119,15.730949401855469,machine,N,1.0
